#FIELD,ID,RA,Dec,X,Y
STRIPE82-0051,SPLUS.STRIPE82-0051.32547.griz,35.5399,-0.0489,4801.305,9762.271
STRIPE82-0020,SPLUS.STRIPE82-0020.24241.griz,12.8437,1.0294,4925.91,7656.438
STRIPE82-0138,SPLUS.STRIPE82-0138.18161.griz,335.7345,0.778,6619.425,6011.36
STRIPE82-0061,SPLUS.STRIPE82-0061.05287.griz,43.2009,-1.2193,1042.494,2100.597
STRIPE82-0051,SPLUS.STRIPE82-0051.38954.griz,35.1126,-0.2561,7598.453,8406.29
STRIPE82-0133,SPLUS.STRIPE82-0133.31977.griz,332.8368,-0.0364,7032.501,9844.276
STRIPE82-0053,SPLUS.STRIPE82-0053.22575.griz,36.2867,-0.3101,9190.604,8052.63
STRIPE82-0122,SPLUS.STRIPE82-0122.28503.griz,323.9164,0.9564,9758.258,7179.001
STRIPE82-0043,SPLUS.STRIPE82-0043.15669.griz,30.1218,-0.8824,3157.296,4306.6
STRIPE82-0135,SPLUS.STRIPE82-0135.32069.griz,333.7914,-0.0825,10061.779,9542.512
STRIPE82-0170,SPLUS.STRIPE82-0170.34450.griz,358.439,1.2145,6440.667,8868.54
STRIPE82-0166,SPLUS.STRIPE82-0166.07140.griz,355.2578,0.3179,8709.417,2999.751
STRIPE82-0117,SPLUS.STRIPE82-0117.38823.griz,322.2626,-0.4733,2029.472,6983.985
STRIPE82-0123,SPLUS.STRIPE82-0123.09435.griz,325.2473,-1.0572,10323.88,3161.81
STRIPE82-0139,SPLUS.STRIPE82-0139.17329.griz,336.8009,-0.134,8916.843,9205.228
STRIPE82-0118,SPLUS.STRIPE82-0118.37943.griz,321.5345,1.2202,6794.64,8905.744
STRIPE82-0046,SPLUS.STRIPE82-0046.12941.griz,30.4286,0.6943,10425.81,5463.635
STRIPE82-0142,SPLUS.STRIPE82-0142.15822.griz,338.668,0.7159,5972.713000000002,5604.563
STRIPE82-0139,SPLUS.STRIPE82-0139.28348.griz,336.9277,-0.0068,8087.18,10037.747
STRIPE82-0021,SPLUS.STRIPE82-0021.33906.griz,14.2511,-0.139,4990.814,9172.616
STRIPE82-0031,SPLUS.STRIPE82-0031.25203.griz,20.7722,-0.4262,8692.516,7292.550999999998
STRIPE82-0065,SPLUS.STRIPE82-0065.10104.griz,45.2635,-0.7434,6094.785,5216.415
STRIPE82-0048,SPLUS.STRIPE82-0048.08137.griz,33.1451,0.4097,1922.192,3600.752
STRIPE82-0028,SPLUS.STRIPE82-0028.21282.griz,18.4854,0.9819,5106.747,7345.863
STRIPE82-0059,SPLUS.STRIPE82-0059.38370.griz,41.4929,-0.2582,2944.45,8392.008
STRIPE82-0006,SPLUS.STRIPE82-0006.11767.griz,3.431,1.089,1597.5,8046.84
STRIPE82-0019,SPLUS.STRIPE82-0019.19354.griz,12.0243,-0.2143,10289.708,8679.857
STRIPE82-0105,SPLUS.STRIPE82-0105.24867.griz,313.3036,-0.8799,5007.737,4322.97
STRIPE82-0107,SPLUS.STRIPE82-0107.25936.griz,314.1484,-0.8177,8755.343,4730.112
STRIPE82-0047,SPLUS.STRIPE82-0047.05832.griz,32.53,-1.0029,5948.595,3517.707000000001
STRIPE82-0050,SPLUS.STRIPE82-0050.29663.griz,34.5337,0.7585,2110.763,5883.292
STRIPE82-0030,SPLUS.STRIPE82-0030.22459.griz,20.2624,0.8514,2752.759,6491.934
STRIPE82-0123,SPLUS.STRIPE82-0123.23332.griz,325.588,-0.6046,8094.147,6124.837
STRIPE82-0071,SPLUS.STRIPE82-0071.11566.griz,49.584,-0.8246,5646.1190000000015,4684.6590000000015
STRIPE82-0109,SPLUS.STRIPE82-0109.34443.griz,315.5372,-0.7063,8941.834,5459.313
STRIPE82-0120,SPLUS.STRIPE82-0120.09888.griz,322.591,0.3212,9156.942,3020.9640000000004
STRIPE82-0163,SPLUS.STRIPE82-0163.09998.griz,354.147,-0.9372,6702.589,3948.194
STRIPE82-0021,SPLUS.STRIPE82-0021.24039.griz,14.0728,-0.3696,6157.854,7663.114
STRIPE82-0154,SPLUS.STRIPE82-0154.17874.griz,346.6628,0.6905,9305.068,5438.616999999998
STRIPE82-0149,SPLUS.STRIPE82-0149.32314.griz,344.9757,-0.0657,1794.024,9652.412
STRIPE82-0149,SPLUS.STRIPE82-0149.03687.griz,345.0346,-1.2373,1409.036,1983.219
STRIPE82-0021,SPLUS.STRIPE82-0021.24126.griz,14.1916,-0.3708,5380.552,7655.52
STRIPE82-0154,SPLUS.STRIPE82-0154.17746.griz,347.9035,0.6937,1184.298,5459.616999999998
STRIPE82-0069,SPLUS.STRIPE82-0069.33416.griz,47.8915,-0.1008,7447.575,9422.566
STRIPE82-0080,SPLUS.STRIPE82-0080.02132.griz,55.7149,0.1388,2624.657,1826.912
STRIPE82-0027,SPLUS.STRIPE82-0027.05875.griz,18.7193,-1.0953,3575.902,2912.752
STRIPE82-0035,SPLUS.STRIPE82-0035.24048.griz,24.2836,-0.5649,4262.856,6385.076999999998
STRIPE82-0108,SPLUS.STRIPE82-0108.19424.griz,314.289,0.4295,7834.729,3730.009
STRIPE82-0027,SPLUS.STRIPE82-0027.13610.griz,17.8251,-0.7499,9428.001,5173.816
STRIPE82-0165,SPLUS.STRIPE82-0165.10959.griz,356.2611,-0.9312,2142.273,3986.84
STRIPE82-0062,SPLUS.STRIPE82-0062.04645.griz,43.0697,0.2948,1900.284,2848.155
STRIPE82-0053,SPLUS.STRIPE82-0053.08343.griz,36.7341,-1.0339,6261.843000000002,3314.837
STRIPE82-0129,SPLUS.STRIPE82-0129.19634.griz,330.2821,-0.7085,5200.36,5444.727
STRIPE82-0110,SPLUS.STRIPE82-0110.20560.griz,315.9456,0.4729,6268.748000000001,4014.263
STRIPE82-0169,SPLUS.STRIPE82-0169.05353.griz,357.9257,-1.0171,9800.587,3424.16
STRIPE82-0119,SPLUS.STRIPE82-0119.30144.griz,322.4857,-0.7491,9845.823,5178.911
STRIPE82-0103,SPLUS.STRIPE82-0103.50588.griz,311.8449,-0.4738,5278.7,6980.781999999998
STRIPE82-0039,SPLUS.STRIPE82-0039.26801.griz,26.2949,-0.5302,9651.893,6611.998000000001
STRIPE82-0153,SPLUS.STRIPE82-0153.06205.griz,347.626,-1.1445,3001.157,2590.947
STRIPE82-0156,SPLUS.STRIPE82-0156.14460.griz,348.5535,0.5914,6206.725,4789.657
STRIPE82-0164,SPLUS.STRIPE82-0164.40665.griz,353.7275,1.0264,9448.436,7637.305
STRIPE82-0055,SPLUS.STRIPE82-0055.10269.griz,38.5019,-0.9173,3968.075,4077.96
STRIPE82-0100,SPLUS.STRIPE82-0100.73072.griz,309.2608,1.0698,3639.088,7921.346
STRIPE82-0148,SPLUS.STRIPE82-0148.03782.griz,342.3946,0.1745,9411.886,2061.119
STRIPE82-0157,SPLUS.STRIPE82-0157.06440.griz,349.9396,-1.207,6410.9540000000015,2182.132
STRIPE82-0161,SPLUS.STRIPE82-0161.15817.griz,352.7585,-0.132,6514.089,9218.426
STRIPE82-0138,SPLUS.STRIPE82-0138.22017.griz,335.8565,1.158,5821.106,8498.265
STRIPE82-0123,SPLUS.STRIPE82-0123.21024.griz,325.4626,-0.6827,8914.915,5613.473000000001
STRIPE82-0119,SPLUS.STRIPE82-0119.22086.griz,323.6158,-0.885,2449.011,4289.7
STRIPE82-0121,SPLUS.STRIPE82-0121.13449.griz,323.9079,-0.9885,9813.846,3611.448
STRIPE82-0025,SPLUS.STRIPE82-0025.25526.griz,17.012999999999998,-0.3824,5467.215,7579.179
STRIPE82-0020,SPLUS.STRIPE82-0020.22414.griz,13.4179,1.1199,1168.027,8249.753
STRIPE82-0161,SPLUS.STRIPE82-0161.04712.griz,353.3483,-1.143,2654.266,2600.597
STRIPE82-0166,SPLUS.STRIPE82-0166.00359.griz,355.2774,-0.002,8581.256,905.681
STRIPE82-0163,SPLUS.STRIPE82-0163.29944.griz,354.4472,-0.6464,4738.339,5851.333000000001
STRIPE82-0024,SPLUS.STRIPE82-0024.04859.griz,15.719,0.2478,4659.43,2540.282
STRIPE82-0161,SPLUS.STRIPE82-0161.21244.griz,352.7232,-0.4184,6745.118,7343.57
STRIPE82-0002,SPLUS.STRIPE82-0002.28980.griz,359.6524,0.8924,7775.174,6760.233
STRIPE82-0026,SPLUS.STRIPE82-0026.10548.griz,16.6969,0.3674,7535.808000000001,3323.574
STRIPE82-0060,SPLUS.STRIPE82-0060.16078.griz,41.2574,1.1634,4485.913,8533.793
STRIPE82-0019,SPLUS.STRIPE82-0019.24887.griz,12.9984,-0.4866,3913.138,6897.151
STRIPE82-0107,SPLUS.STRIPE82-0107.45512.griz,314.605,-0.3996,5766.7040000000015,7466.505
STRIPE82-0132,SPLUS.STRIPE82-0132.14776.griz,331.3527,0.4759,7469.757,4033.707
STRIPE82-0031,SPLUS.STRIPE82-0031.21766.griz,21.4809,-0.2743,4053.692,8287.241
STRIPE82-0164,SPLUS.STRIPE82-0164.03807.griz,354.0166,0.0798,7556.936,1441.068
STRIPE82-0164,SPLUS.STRIPE82-0164.04821.griz,354.9898,0.135,1186.153,1802.474
STRIPE82-0009,SPLUS.STRIPE82-0009.18450.griz,5.8835,-0.8517,4098.28,4507.708
STRIPE82-0066,SPLUS.STRIPE82-0066.38394.griz,45.5047,1.1302,4516.425,8316.684000000001
STRIPE82-0113,SPLUS.STRIPE82-0113.51923.griz,318.2999,-0.1434,9413.185,9143.618
STRIPE82-0118,SPLUS.STRIPE82-0118.22718.griz,321.1444,0.6532,9348.149,5194.507000000001
STRIPE82-0144,SPLUS.STRIPE82-0144.09974.griz,340.8144,0.4083,1200.442,3591.4240000000004
STRIPE82-0131,SPLUS.STRIPE82-0131.15456.griz,332.0255,-0.9069,3066.281,4146.105
STRIPE82-0146,SPLUS.STRIPE82-0146.05198.griz,341.0632,0.271,8849.318000000001,2692.435
STRIPE82-0054,SPLUS.STRIPE82-0054.23864.griz,37.4821,0.9905,1366.2020000000002,7402.279
STRIPE82-0029,SPLUS.STRIPE82-0029.08742.griz,19.6869,-0.9063,6518.941999999999,4150.457
STRIPE82-0055,SPLUS.STRIPE82-0055.23721.griz,38.5586,-0.4601,3596.281,7070.757
STRIPE82-0057,SPLUS.STRIPE82-0057.20481.griz,39.0312,-0.6142,9779.854,6062.0
STRIPE82-0010,SPLUS.STRIPE82-0010.22528.griz,6.0529,0.7969,2990.094,6135.001
STRIPE82-0010,SPLUS.STRIPE82-0010.27926.griz,5.0875,0.8995,9307.947,6806.837
STRIPE82-0149,SPLUS.STRIPE82-0149.21821.griz,344.1382,-0.5475,7275.771,6498.828
STRIPE82-0007,SPLUS.STRIPE82-0007.13172.griz,3.7065,-0.7746,9070.66,5011.825
STRIPE82-0058,SPLUS.STRIPE82-0058.26220.griz,40.2713,0.9314,1663.406,7015.22
STRIPE82-0041,SPLUS.STRIPE82-0041.23858.griz,27.8664,-0.3716,8642.671999999999,7649.961999999998
STRIPE82-0110,SPLUS.STRIPE82-0110.44913.griz,315.8496,0.9988,6897.2069999999985,7456.029
STRIPE82-0014,SPLUS.STRIPE82-0014.15623.griz,8.3877,0.6927,6261.364000000001,5452.6190000000015
STRIPE82-0047,SPLUS.STRIPE82-0047.22068.griz,32.6755,-0.6384,4996.125,5903.875
STRIPE82-0053,SPLUS.STRIPE82-0053.08245.griz,36.855,-1.0595,5470.1280000000015,3147.305
STRIPE82-0005,SPLUS.STRIPE82-0005.21290.griz,3.257,-0.3746,2735.692,7630.038
STRIPE82-0157,SPLUS.STRIPE82-0157.29364.griz,350.2154,-0.5332,4605.762,6592.371
STRIPE82-0112,SPLUS.STRIPE82-0112.34484.griz,317.0361,0.866,8407.817,6587.028
STRIPE82-0104,SPLUS.STRIPE82-0104.05702.griz,311.7731,0.0879,5748.88,1493.875
STRIPE82-0043,SPLUS.STRIPE82-0043.38180.griz,29.7998,-0.2791,5264.948,8255.337
STRIPE82-0124,SPLUS.STRIPE82-0124.00517.griz,325.9278,-0.0043,5870.146,890.322
STRIPE82-0067,SPLUS.STRIPE82-0067.26216.griz,46.1448,-0.4752,9603.291,6971.701999999998
STRIPE82-0064,SPLUS.STRIPE82-0064.24977.griz,43.7558,0.9871,6686.334,7380.005
STRIPE82-0143,SPLUS.STRIPE82-0143.15352.griz,339.6994,-0.8590000000000001,8498.407,4459.6190000000015
STRIPE82-0047,SPLUS.STRIPE82-0047.14190.griz,32.9148,-0.1719,3429.769,8957.037
STRIPE82-0011,SPLUS.STRIPE82-0011.06732.griz,7.5856,-1.113,2234.687,2796.991
STRIPE82-0013,SPLUS.STRIPE82-0013.19472.griz,7.7366,-0.1685,10523.502,8979.166
STRIPE82-0018,SPLUS.STRIPE82-0018.40967.griz,10.896,1.0197,8396.746,7593.397
STRIPE82-0066,SPLUS.STRIPE82-0066.28733.griz,45.8521,0.954,2242.756,7163.614000000001
STRIPE82-0036,SPLUS.STRIPE82-0036.08023.griz,23.4687,0.7021,9596.726,5514.714
STRIPE82-0018,SPLUS.STRIPE82-0018.29303.griz,11.0567,0.9179,7345.599,6927.018
STRIPE82-0021,SPLUS.STRIPE82-0021.13011.griz,13.4791,-0.86,10043.885,4453.106
STRIPE82-0109,SPLUS.STRIPE82-0109.60050.griz,315.6132,0.0275,8444.721,10262.612
STRIPE82-0068,SPLUS.STRIPE82-0068.24981.griz,46.2683,0.8954,8794.688,6779.593000000002
STRIPE82-0128,SPLUS.STRIPE82-0128.34154.griz,328.575,0.9422,7096.7069999999985,7085.883000000002
STRIPE82-0131,SPLUS.STRIPE82-0131.10991.griz,331.3143,-1.1259,7720.751,2712.506
